Date,Open,High,Low,Close,Volume
2021-07-29,1277.07,1293.6,1277.07,1293.6,491100
2021-07-30,1293.6,1311.97,1293.6,1310.05,644400
2021-08-02,1314.22,1322.35,1304.49,1314.22,575155300
2021-08-03,1314.22,1332.44,1314.22,1332.44,647000
2021-08-04,1332.44,1340.76,1328.4,1334.74,66180000
2021-08-05,1334.74,1346.62,1326.8,1345.55,63550000
2021-08-06,1345.55,1351.85,1341.45,1341.45,73620000
2021-08-09,1341.45,1361.12,1334.69,1359.86,68840000
2021-08-10,1359.86,1370.35,1358.12,1362.43,71650000
2021-08-11,1362.43,1374.03,1357.79,1357.79,80680000
2021-08-12,1357.79,1365.01,1353.05,1353.05,74160000
2021-08-13,1353.05,1357.41,1336.74,1357.05,74410000
2021-08-16,1357.05,1372.33,1357.05,1370.96,82770000
2021-08-17,1370.96,1379.7,1359.11,1363.09,76860000
2021-08-18,1363.09,1370.5,1355.83,1360.94,68980000
2021-08-19,1360.94,1374.85,1352.94,1374.85,72820000
2021-08-20,1374.85,1374.85,1317.52,1329.43,120650000
2021-08-23,1329.43,1329.43,1298.86,1298.86,79510000
2021-08-24,1298.86,1307.56,1289.16,1298.74,71430000
2021-08-25,1298.74,1310.16,1291.7,1309.55,52290000
2021-08-26,1309.55,1316.26,1295.77,1301.12,52430000
2021-08-27,1301.12,1313.2,1285.16,1313.2,68510000
2021-08-30,1313.2,1329.62,1313.2,1328.14,67650000
2021-08-31,1328.14,1336.14,1325.69,1331.47,73380000
2021-09-01,1328.54,1338.02,1328.26,1334.65,656904200
2021-09-06,1340.71,1348.36,1339.8,1346.39,871508000
2021-09-07,1349.13,1353.66,1340.32,1341.9,829928300
2021-09-08,1343.92,1344.49,1328.35,1333.61,580802100
2021-09-09,1333.61,1345.59,1332.67,1343.98,563607000
2021-09-10,1348.74,1350.43,1345.07,1345.31,530762800
2021-09-13,1348.07,1350.69,1340.5,1341.43,719863400
2021-09-14,1343.38,1349.13,1336.84,1339.7,670954500
2021-09-15,1338.11,1347.7,1334.97,1345.83,622274200
2021-09-16,1351.85,1353.12,1341.23,1345.87,547188700
2021-09-17,1347.66,1356.45,1347.13,1352.64,773922200
2021-09-20,1361.12,1365.92,1349.18,1350.48,820277200
2021-09-21,1335.96,1350.48,1324.82,1339.84,787035700
2021-09-22,1339.84,1350.71,1336.63,1350.68,706204600
2021-09-23,1357.65,1361.09,1350.43,1352.76,937843800
2021-09-24,1354.84,1356.97,1348.07,1351.17,612874400
2021-09-27,1353.39,1354.38,1324.99,1324.99,702783900
2021-09-28,1319.53,1341.81,1316.41,1339.31,567532100
2021-09-29,1338.8,1340.9,1328.17,1339.21,545429900
2021-09-30,1341.83,1348.89,1341.15,1342.06,420717600
2021-10-01,1342.06,1344.06,1332.97,1334.89,73820000
2021-10-04,1337.74,1347.49,1334.4,1339.54,683485400
2021-10-05,1345.43,1354.63,1343.48,1354.63,555948300
2021-10-06,1359.63,1362.82,1354.63,1362.82,575444400
2021-10-07,1365.54,1367.64,1360.57,1365.99,640283100
2021-10-08,1365.99,1373.18,1365.93,1372.73,580722600
2021-10-11,1377.53,1394.64,1377.3,1394.09,695144700
2021-10-12,1398.03,1400.78,1389.43,1394.8,680550900
2021-10-13,1398.21,1400.67,1389.61,1391.91,581359400
2021-10-14,1392.88,1398.67,1388.89,1391.85,669287500
2021-10-15,1395.81,1399.03,1388.0,1392.7,710519000
2021-10-18,1395.57,1402.63,1390.88,1395.53,740018700
2021-10-19,1395.53,1399.66,1388.95,1395.33,582318100
2021-10-20,1398.45,1401.76,1376.15,1393.8,771825800
2021-10-21,1397.59,1398.45,1384.77,1384.77,659155300
2021-10-22,1384.77,1393.7,1384.77,1389.24,722492800
2021-10-25,1395.45,1395.72,1385.4,1385.4,839836200
2021-10-26,1384.12,1393.03,1377.56,1391.63,666130300
2021-10-27,1397.51,1423.02,1395.83,1423.02,830868000
2021-10-28,1427.89,1440.64,1420.42,1438.01,793709800
2021-10-29,1439.27,1447.62,1432.19,1444.27,903703600
2021-11-01,1438.97,1451.81,1435.57,1438.97,1048323800
2021-11-02,1452.46,1452.46,1438.83,1452.46,939881300
2021-11-03,1460.44,1463.63,1444.3,1444.3,1411319400
2021-11-04,1442.89,1451.98,1435.84,1448.34,860185400
2021-11-05,1450.71,1459.49,1444.51,1456.51,813598700
2021-11-08,1461.61,1470.49,1456.51,1467.57,968067400
2021-11-09,1469.94,1474.2,1457.57,1461.5,970241100
2021-11-10,1465.1,1470.19,1457.98,1465.02,925701000
2021-11-11,1469.22,1472.89,1449.18,1462.35,1170544800
2021-11-12,1462.35,1474.57,1453.22,1473.37,879182900
2021-11-15,1481.75,1481.96,1466.01,1476.57,1114244700
2021-11-16,1472.82,1476.97,1459.08,1466.45,1124412600
2021-11-17,1466.45,1477.04,1464.78,1475.85,800040000
2021-11-18,1479.39,1482.87,1469.83,1469.83,1016609500
2021-11-19,1475.0,1481.53,1434.69,1452.35,1452208700
2021-11-22,1453.35,1466.46,1442.85,1447.25,1177326300
2021-11-23,1442.66,1463.63,1438.41,1463.63,810865000
2021-11-24,1470.66,1491.05,1467.29,1488.87,1025021500
2021-11-25,1496.41,1505.36,1490.32,1500.81,908516000
2021-11-26,1506.69,1511.68,1488.83,1493.03,966269500
2021-11-29,1467.48,1488.93,1467.35,1484.84,932067900
2021-11-30,1500.24,1503.09,1471.57,1478.44,1005714000
2021-12-01,1485.19,1487.68,1471.3,1485.19,810951400
2021-12-02,1482.05,1493.84,1482.05,1482.05,719084000
2021-12-03,1443.32,1491.2,1443.32,1443.32,997434600
2021-12-06,1446.28,1452.55,1400.87,1413.58,975385500
2021-12-07,1426.88,1446.77,1421.6,1446.77,662111000
2021-12-08,1446.77,1460.28,1446.77,1452.87,709378100
2021-12-09,1448.29,1467.98,1446.88,1467.98,610084100
2021-12-10,1470.55,1475.85,1461.78,1463.54,759422200
2021-12-13,1471.96,1481.7,1470.08,1476.21,787630800
2021-12-14,1476.82,1485.14,1469.21,1476.02,887700200
2021-12-15,1476.02,1481.67,1468.21,1475.5,838899800
2021-12-16,1481.85,1482.32,1468.95,1476.61,867439300
2021-12-17,1481.76,1487.73,1476.61,1479.79,1032891100
2021-12-20,1482.09,1483.85,1468.88,1477.33,910354780
2021-12-21,1475.31,1486.09,1472.43,1478.74,867992218
2021-12-22,1485.4,1489.24,1471.84,1477.67,1032293743
2021-12-23,1480.52,1481.21,1447.14,1456.96,1267439407
2021-12-24,1465.0,1478.8,1456.32,1477.03,856070439
2021-12-27,1485.1,1490.12,1469.91,1488.88,717070918
2021-12-28,1497.16,1499.77,1483.97,1494.39,934384700
2021-12-29,1498.3,1498.91,1485.82,1485.82,794969800
2021-12-30,1491.24,1493.38,1484.82,1485.97,724365200
2021-12-31,1490.25,1499.07,1485.97,1498.28,846534300
2022-01-04,1508.15,1526.69,1498.28,1525.58,787479200
2022-01-05,1529.06,1535.82,1522.5,1522.5,955697900
2022-01-06,1518.94,1536.24,1518.18,1528.57,1089214800
2022-01-07,1534.44,1534.52,1524.96,1528.48,951525400
2022-01-10,1530.74,1536.45,1503.71,1503.71,1316091200
2022-01-11,1506.73,1512.05,1488.4,1492.31,1219958100
2022-01-12,1491.3,1510.51,1464.49,1510.51,1066699800
2022-01-13,1519.79,1522.6,1495.13,1496.05,938652200
2022-01-14,1477.34,1503.25,1476.68,1496.02,711209200
2022-01-17,1499.47,1503.86,1452.84,1452.84,885918500
2022-01-18,1444.16,1452.84,1424.65,1438.94,663088300
2022-01-19,1444.6,1449.11,1434.46,1442.79,536466400
2022-01-20,1439.06,1469.08,1432.58,1465.3,735877900
2022-01-21,1470.96,1477.23,1463.06,1472.89,753804800
2022-01-24,1465.33,1472.89,1432.18,1439.71,754916000
2022-01-25,1433.2,1479.58,1424.36,1479.58,675565100
2022-01-26,1485.83,1490.45,1478.41,1481.58,733274800
2022-01-27,1475.45,1486.39,1464.06,1470.76,494450500
2022-01-28,1471.47,1484.48,1465.22,1478.96,632108500
2022-02-07,1497.55,1505.69,1478.96,1497.66,514106400
2022-02-08,1495.58,1503.33,1491.78,1500.99,657543900
2022-02-09,1500.78,1511.72,1499.53,1505.38,712308800
2022-02-10,1505.38,1512.88,1495.7,1506.79,585239000
2022-02-11,1503.37,1508.54,1499.06,1501.71,548873400
2022-02-14,1485.75,1495.99,1471.96,1471.96,716040200
2022-02-15,1473.92,1495.56,1470.06,1492.75,535470800
2022-02-16,1499.03,1499.5,1486.68,1492.1,592349200
2022-02-17,1492.56,1507.99,1492.1,1507.99,562210800
2022-02-18,1494.3,1507.99,1492.38,1504.84,644038600
